Teams,Interceptions,Tackles,Passes,Possession,Goals,Shots,Fouls,Color
Manchester City,8.4,16.2,503.4,59.5%,56,16.1,10.8,"0.46, 0.72, 0.94"
Arsenal,8.8,17.4,488.2,57.7%,56,15.6,11.2,"0.94, 0.07, 0.07"
Manchester United,9.1,19.2,465.1,52.2%,48,15.2,12.1,"0.85, 0.10, 0.10"
Liverpool,8.7,17.9,467.7,61.5%,42,15.9,10.5,"0.78, 0.05, 0.14"
Chelsea,10.0,18.8,469.1,57.7%,48,14.8,11.9,"0.01, 0.20, 0.61"
Everton,9.1,18.6,378.5,43.6%,29,11.4,12.6,"0.00, 0.20, 0.51"
Crystal Palace,9.2,19.3,405.8,44.1%,29,11.8,12.3,"0.07, 0.28, 0.58"
Aston Villa,8.9,18.1,448.2,53.6%,38,13.4,11.5,"0.58, 0.73, 0.87"
Newcastle United,8.5,17.7,432.1,53.5%,38,13.1,11.8,"0.15, 0.15, 0.15"
AFC Bournemouth,9.6,18.9,401.2,49.0%,43,12.8,12.1,"0.85, 0.10, 0.10"
Brentford,9.2,18.4,395.4,46.6%,40,12.1,12.4,"0.89, 0.10, 0.11"
Brighton & Hove Albion,8.6,17.5,455.2,52.6%,36,13.7,12.0,"0.00, 0.33, 0.75"
Sunderland,9.0,19.5,385.4,43.7%,28,10.9,13.1,"1.00, 0.00, 0.00"
Tottenham Hotspur,8.4,20.0,468.1,51.5%,37,14.1,12.9,"0.05, 0.11, 0.24"
Leeds United,9.3,19.1,412.5,45.7%,37,12.2,12.5,"1.00, 1.00, 1.00"
Nottingham Forest,9.1,18.7,390.2,48.0%,25,10.5,11.4,"0.86, 0.08, 0.24"
Fulham,8.8,18.3,422.6,51.6%,38,12.4,11.7,"1.00, 1.00, 1.00"
West Ham United,8.9,18.4,402.1,42.6%,32,11.9,12.2,"0.48, 0.14, 0.21"
Burnley,9.2,18.0,365.4,40.5%,29,10.2,13.0,"0.44, 0.10, 0.20"
Wolverhampton Wanderers,8.7,19.3,372.8,44.2%,18,9.8,13.4,"0.99, 0.69, 0.07"
